# generation power_min power_avg power_max util_min util_avg util_max
1 67.147176 83.695446 99.707758 -4.989745 -3.309852 -1.909974
100 46.399062 63.554259 74.704971 -4.989745 -3.633423 -2.398031
200 35.738097 49.209805 55.469631 -4.585314 -3.577449 -2.175501
300 29.669988 37.477146 43.450059 -4.170549 -3.490529 -2.829443
400 24.049016 29.172209 33.094122 -3.938032 -3.333923 -2.693302
500 17.975919 22.907585 26.000962 -3.626273 -3.233471 -2.573692
600 12.306853 16.937909 19.160845 -3.746294 -3.228778 -2.741371
700 10.795879 12.847418 14.741374 -3.519350 -3.050797 -2.753740
800 7.263339 9.947209 11.356256 -3.321255 -3.121392 -2.952267
900 4.822854 8.025514 8.958162 -3.166728 -3.070496 -3.030132
1000 4.502104 6.836088 7.505609 -3.197625 -3.062852 -2.928224
1100 3.332735 5.525571 6.564642 -3.232865 -3.108266 -2.951765
1200 2.246796 2.920930 4.209509 -3.232865 -3.190105 -3.091274
1300 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
1400 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
1500 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
1600 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
1700 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
1800 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
1900 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
2000 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
2100 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
2200 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
2300 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
2400 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
2500 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
2600 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
2700 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
2800 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
2900 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
3000 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
3100 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
3200 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
3300 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
3400 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
3500 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
3600 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
3700 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
3800 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
3900 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
4000 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
4100 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
4200 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
4300 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
4400 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
4500 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
4600 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
4700 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
4800 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
4900 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
5000 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
5100 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
5200 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
5300 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
5400 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
5500 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
5600 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
5700 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
5800 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
5900 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
6000 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
6100 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
